[Sat Jul 18 14:41:09 UTC 2026] axis1 child starting RUN_ID=adapt_ax1fv4q1v400s1_finger_seed5_ckpt500000 WM_RUN=ax1wm_finger_fv4q1v400s1_seed5 job=NA host=243a28687a6f
[Sat Jul 18 14:41:09 UTC 2026] env prepared: python=/workspace/conda_envs/dreamerv3/bin/python
python_executable=/workspace/conda_envs/dreamerv3/bin/python
[Sat Jul 18 14:41:09 UTC 2026] offline_fit WM_RUN=ax1wm_finger_fv4q1v400s1_seed5 REPLAY=/workspace/dreamerv3_runs/axis1_finger/q1v400/side1 UPDATES=500000 SEED=5
[Sat Jul 18 14:41:09 UTC 2026] fit flags: --agent.expl.mode apt  (arm=full size=default)
Logdir: /workspace/dreamerv3_runs/ax1wm_finger_fv4q1v400s1_seed5
Static replay: /workspace/dreamerv3_runs/axis1_finger/q1v400/side1
Observations
  reward           Space(float32, shape=(), low=-inf, high=inf)
  is_first         Space(bool, shape=(), low=False, high=True)
  is_last          Space(bool, shape=(), low=False, high=True)
  is_terminal      Space(bool, shape=(), low=False, high=True)
  position         Space(float32, shape=(4,), low=-inf, high=inf)
  velocity         Space(float32, shape=(3,), low=-inf, high=inf)
  touch            Space(float32, shape=(2,), low=-inf, high=inf)
  target_position  Space(float32, shape=(2,), low=-inf, high=inf)
  dist_to_target   Space(float32, shape=(), low=-inf, high=inf)
Actions
  action           Space(float32, shape=(2,), low=-1.0, high=1.0)
Extras
  consec           Space(int32, shape=(), low=-2147483648, high=2147483647)
  stepid           Space(uint8, shape=(20,), low=0, high=255)
  dyn/deter        Space(float32, shape=(512,), low=-inf, high=inf)
  dyn/stoch        Space(float32, shape=(32, 4), low=-inf, high=inf)
JAX devices (1): [cuda:0]
Policy devices: cuda:0
Train devices:  cuda:0
Initializing parameters...
/workspace/dreamerv3/embodied/jax/agent.py:112: DeprecationWarning: `with mesh:` context manager has been deprecated. Please use `with jax.set_mesh(mesh):` instead.
  with self.train_mesh:
Optimizer opt has 580,880 params:
       364,160 dyn
        66,111 val
        50,316 dec
        49,796 pol
        41,153 con
         9,344 enc
/workspace/conda_envs/dreamerv3/lib/python3.11/site-packages/optax/_src/linear_algebra.py:44: DeprecationWarning: optax.global_norm is deprecated in favor of optax.tree.norm
  warnings.warn(
Done initializing!
Compiling 1 checkpoint groups...
Largest checkpoint group: 0 GB
Compiling train and report...
/workspace/dreamerv3/embodied/jax/agent.py:187: DeprecationWarning: `with mesh:` context manager has been deprecated. Please use `with jax.set_mesh(mesh):` instead.
  with self.train_mesh:
/workspace/conda_envs/dreamerv3/lib/python3.11/site-packages/optax/_src/linear_algebra.py:44: DeprecationWarning: optax.global_norm is deprecated in favor of optax.tree.norm
  warnings.warn(
Train cost analysis:
No available
Report cost analysis:
No available
Done compiling!
Did not find any checkpoint.
Loaded static replay: 374800 sampling items (seq length 65).
  update     1/500000: wm_total=0.000  
  update    25/500000: wm_total=27.763  con=0.477  dist_to_target=0.570  dyn=7.918  position=2.639  rep=7.918  target_position=0.698  touch=1.107  velocity=6.436
  update    50/500000: wm_total=25.886  con=0.488  dist_to_target=0.565  dyn=7.356  position=2.600  rep=7.356  target_position=0.649  touch=0.912  velocity=5.959
  update    75/500000: wm_total=23.972  con=0.460  dist_to_target=0.502  dyn=6.257  position=2.361  rep=6.257  target_position=0.601  touch=1.163  velocity=6.371
Start JAX profiler: /workspace/dreamerv3_runs/ax1wm_finger_fv4q1v400s1_seed5
  update   100/500000: wm_total=22.743  con=0.438  dist_to_target=0.436  dyn=5.744  position=2.379  rep=5.744  target_position=0.588  touch=1.563  velocity=5.850
Stop JAX profiler
  update   125/500000: wm_total=19.468  con=0.384  dist_to_target=0.398  dyn=4.557  position=1.849  rep=4.557  target_position=0.489  touch=1.232  velocity=6.001
  update   150/500000: wm_total=17.532  con=0.344  dist_to_target=0.300  dyn=4.266  position=1.703  rep=4.266  target_position=0.425  touch=1.228  velocity=5.001
  update   175/500000: wm_total=15.846  con=0.282  dist_to_target=0.179  dyn=3.931  position=1.302  rep=3.931  target_position=0.349  touch=1.092  velocity=4.780
  update   200/500000: wm_total=15.121  con=0.227  dist_to_target=0.139  dyn=3.801  position=1.115  rep=3.801  target_position=0.271  touch=1.067  velocity=4.699
  update   225/500000: wm_total=13.891  con=0.176  dist_to_target=0.109  dyn=3.660  position=1.467  rep=3.660  target_position=0.213  touch=0.601  velocity=4.005
  update   250/500000: wm_total=12.841  con=0.147  dist_to_target=0.095  dyn=3.446  position=1.058  rep=3.446  target_position=0.190  touch=0.879  velocity=3.580
  update   275/500000: wm_total=13.218  con=0.115  dist_to_target=0.097  dyn=3.496  position=1.051  rep=3.496  target_position=0.162  touch=0.739  velocity=4.063
  update   300/500000: wm_total=11.987  con=0.092  dist_to_target=0.076  dyn=3.309  position=1.012  rep=3.309  target_position=0.149  touch=0.763  velocity=3.276
  update   325/500000: wm_total=11.840  con=0.081  dist_to_target=0.087  dyn=3.297  position=0.850  rep=3.297  target_position=0.155  touch=0.799  velocity=3.272
  update   350/500000: wm_total=11.583  con=0.070  dist_to_target=0.071  dyn=3.453  position=1.081  rep=3.453  target_position=0.119  touch=0.557  velocity=2.780
  update   375/500000: wm_total=11.669  con=0.065  dist_to_target=0.070  dyn=3.152  position=0.874  rep=3.152  target_position=0.124  touch=1.285  velocity=2.948
  update   400/500000: wm_total=10.346  con=0.058  dist_to_target=0.060  dyn=3.228  position=0.868  rep=3.228  target_position=0.119  touch=0.666  velocity=2.119
  update   425/500000: wm_total=10.943  con=0.053  dist_to_target=0.062  dyn=3.255  position=1.092  rep=3.255  target_position=0.104  touch=0.736  velocity=2.386
  update   450/500000: wm_total=10.009  con=0.048  dist_to_target=0.052  dyn=3.073  position=0.664  rep=3.073  target_position=0.096  touch=0.799  velocity=2.204
  update   475/500000: wm_total=10.258  con=0.044  dist_to_target=0.046  dyn=3.000  position=0.939  rep=3.000  target_position=0.086  touch=0.852  velocity=2.291
